Name,Gender,Race/Ethnicity,Count,Rank,Year
ELLIANA,FEMALE,WHITE NON HISP,11,82,2012
ELLIE,FEMALE,WHITE NON HISP,23,70,2012
ELOISE,FEMALE,WHITE NON HISP,31,62,2012
ELSA,FEMALE,WHITE NON HISP,14,79,2012
EMERSON,FEMALE,WHITE NON HISP,11,82,2012
EMILIA,FEMALE,WHITE NON HISP,44,49,2012
EMILY,FEMALE,WHITE NON HISP,137,12,2012
EMMA,FEMALE,WHITE NON HISP,228,1,2012
ESME,FEMALE,WHITE NON HISP,16,77,2012
ESTELLE,FEMALE,WHITE NON HISP,11,82,2012
ESTER,FEMALE,WHITE NON HISP,11,82,2012
ESTHER,FEMALE,WHITE NON HISP,192,5,2012
ESTY,FEMALE,WHITE NON HISP,12,81,2012
ETTY,FEMALE,WHITE NON HISP,19,74,2012
EVA,FEMALE,WHITE NON HISP,64,38,2012
EVANGELINE,FEMALE,WHITE NON HISP,15,78,2012
EVE,FEMALE,WHITE NON HISP,13,80,2012
EVELYN,FEMALE,WHITE NON HISP,52,43,2012
FAIGA,FEMALE,WHITE NON HISP,29,64,2012
FAIGY,FEMALE,WHITE NON HISP,70,34,2012
FAITH,FEMALE,WHITE NON HISP,10,83,2012
FATIMA,FEMALE,WHITE NON HISP,12,81,2012
FIONA,FEMALE,WHITE NON HISP,29,64,2012
FRADY,FEMALE,WHITE NON HISP,11,82,2012
FRAIDY,FEMALE,WHITE NON HISP,18,75,2012
FRANCES,FEMALE,WHITE NON HISP,13,80,2012
FRANCESCA,FEMALE,WHITE NON HISP,33,60,2012
FRIMET,FEMALE,WHITE NON HISP,13,80,2012
GABRIELA,FEMALE,WHITE NON HISP,10,83,2012
GABRIELLA,FEMALE,WHITE NON HISP,86,28,2012
GABRIELLE,FEMALE,WHITE NON HISP,17,76,2012
GEMMA,FEMALE,WHITE NON HISP,22,71,2012
GENEVIEVE,FEMALE,WHITE NON HISP,18,75,2012
GEORGIA,FEMALE,WHITE NON HISP,16,77,2012
GIA,FEMALE,WHITE NON HISP,36,57,2012
GIADA,FEMALE,WHITE NON HISP,13,80,2012
GIANNA,FEMALE,WHITE NON HISP,48,45,2012
GITTEL,FEMALE,WHITE NON HISP,21,72,2012
GITTY,FEMALE,WHITE NON HISP,69,35,2012
GIULIA,FEMALE,WHITE NON HISP,12,81,2012
GIULIANA,FEMALE,WHITE NON HISP,42,51,2012
GOLDA,FEMALE,WHITE NON HISP,13,80,2012
GOLDY,FEMALE,WHITE NON HISP,25,68,2012
GRACE,FEMALE,WHITE NON HISP,79,30,2012
GRETA,FEMALE,WHITE NON HISP,13,80,2012
HADASSAH,FEMALE,WHITE NON HISP,10,83,2012
HADLEY,FEMALE,WHITE NON HISP,13,80,2012
HAILEY,FEMALE,WHITE NON HISP,36,57,2012
HANA,FEMALE,WHITE NON HISP,13,80,2012
HANNA,FEMALE,WHITE NON HISP,23,70,2012
HANNAH,FEMALE,WHITE NON HISP,83,29,2012
HARPER,FEMALE,WHITE NON HISP,43,50,2012
HAZEL,FEMALE,WHITE NON HISP,16,77,2012
HELEN,FEMALE,WHITE NON HISP,14,79,2012
HELENA,FEMALE,WHITE NON HISP,15,78,2012
HENNY,FEMALE,WHITE NON HISP,14,79,2012
HINDA,FEMALE,WHITE NON HISP,15,78,2012
HINDY,FEMALE,WHITE NON HISP,40,53,2012
IDY,FEMALE,WHITE NON HISP,15,78,2012
INES,FEMALE,WHITE NON HISP,10,83,2012
IRIS,FEMALE,WHITE NON HISP,15,78,2012
ISABEL,FEMALE,WHITE NON HISP,24,69,2012
ISABELLA,FEMALE,WHITE NON HISP,123,16,2012
ISABELLE,FEMALE,WHITE NON HISP,21,72,2012
ISLA,FEMALE,WHITE NON HISP,22,71,2012
IVY,FEMALE,WHITE NON HISP,17,76,2012
JACQUELINE,FEMALE,WHITE NON HISP,26,67,2012
JADE,FEMALE,WHITE NON HISP,11,82,2012
JANA,FEMALE,WHITE NON HISP,16,77,2012
JANE,FEMALE,WHITE NON HISP,20,73,2012
JASMINE,FEMALE,WHITE NON HISP,10,83,2012
JENNA,FEMALE,WHITE NON HISP,17,76,2012
JENNIFER,FEMALE,WHITE NON HISP,13,80,2012
JESSICA,FEMALE,WHITE NON HISP,17,76,2012
JOANNA,FEMALE,WHITE NON HISP,11,82,2012
JOLIE,FEMALE,WHITE NON HISP,11,82,2012
JORDAN,FEMALE,WHITE NON HISP,12,81,2012
JOSEPHINE,FEMALE,WHITE NON HISP,34,59,2012
JOYCE,FEMALE,WHITE NON HISP,10,83,2012
JUDY,FEMALE,WHITE NON HISP,13,80,2012
JULIA,FEMALE,WHITE NON HISP,91,26,2012
JULIANA,FEMALE,WHITE NON HISP,32,61,2012
JULIANNA,FEMALE,WHITE NON HISP,17,76,2012
JULIE,FEMALE,WHITE NON HISP,17,76,2012
JULIET,FEMALE,WHITE NON HISP,38,55,2012
JULIETTE,FEMALE,WHITE NON HISP,25,68,2012
JUNE,FEMALE,WHITE NON HISP,12,81,2012
KAITLYN,FEMALE,WHITE NON HISP,16,77,2012
KATE,FEMALE,WHITE NON HISP,17,76,2012
KATELYN,FEMALE,WHITE NON HISP,12,81,2012
KATHERINE,FEMALE,WHITE NON HISP,41,52,2012
KATHRYN,FEMALE,WHITE NON HISP,17,76,2012
KATIE,FEMALE,WHITE NON HISP,12,81,2012
KAYA,FEMALE,WHITE NON HISP,10,83,2012
KAYLA,FEMALE,WHITE NON HISP,38,55,2012
KAYLEE,FEMALE,WHITE NON HISP,10,83,2012
KEIRA,FEMALE,WHITE NON HISP,24,69,2012
KIRA,FEMALE,WHITE NON HISP,13,80,2012
LAILA,FEMALE,WHITE NON HISP,19,74,2012
LANA,FEMALE,WHITE NON HISP,14,79,2012
LARA,FEMALE,WHITE NON HISP,16,77,2012
LAURA,FEMALE,WHITE NON HISP,14,79,2012
LAUREN,FEMALE,WHITE NON HISP,25,68,2012
LAYLA,FEMALE,WHITE NON HISP,43,50,2012
LEA,FEMALE,WHITE NON HISP,23,70,2012
LEAH,FEMALE,WHITE NON HISP,219,2,2012
LEILA,FEMALE,WHITE NON HISP,30,63,2012
LENA,FEMALE,WHITE NON HISP,15,78,2012
LEORA,FEMALE,WHITE NON HISP,13,80,2012
LIA,FEMALE,WHITE NON HISP,19,74,2012
LIANA,FEMALE,WHITE NON HISP,13,80,2012
LIBA,FEMALE,WHITE NON HISP,13,80,2012
LIBBY,FEMALE,WHITE NON HISP,24,69,2012
LILA,FEMALE,WHITE NON HISP,50,44,2012
LILAH,FEMALE,WHITE NON HISP,13,80,2012
LILIANA,FEMALE,WHITE NON HISP,24,69,2012
LILLIAN,FEMALE,WHITE NON HISP,43,50,2012
LILLY,FEMALE,WHITE NON HISP,19,74,2012
LILY,FEMALE,WHITE NON HISP,104,22,2012
LINA,FEMALE,WHITE NON HISP,12,81,2012
LIV,FEMALE,WHITE NON HISP,10,83,2012
LIVIA,FEMALE,WHITE NON HISP,14,79,2012
LOLA,FEMALE,WHITE NON HISP,15,78,2012
LOUISA,FEMALE,WHITE NON HISP,16,77,2012
LUCIA,FEMALE,WHITE NON HISP,32,61,2012
LUCY,FEMALE,WHITE NON HISP,54,42,2012
LYLA,FEMALE,WHITE NON HISP,11,82,2012
MACKENZIE,FEMALE,WHITE NON HISP,22,71,2012
MADELEINE,FEMALE,WHITE NON HISP,35,58,2012
MADELINE,FEMALE,WHITE NON HISP,55,41,2012
MADELYN,FEMALE,WHITE NON HISP,21,72,2012
MADISON,FEMALE,WHITE NON HISP,66,36,2012
MAE,FEMALE,WHITE NON HISP,10,83,2012
MAEVE,FEMALE,WHITE NON HISP,21,72,2012
MALAK,FEMALE,WHITE NON HISP,18,75,2012
MALKA,FEMALE,WHITE NON HISP,57,39,2012
MALKY,FEMALE,WHITE NON HISP,65,37,2012
MARGARET,FEMALE,WHITE NON HISP,29,64,2012
MARGOT,FEMALE,WHITE NON HISP,11,82,2012
MARIA,FEMALE,WHITE NON HISP,44,49,2012
MARIAM,FEMALE,WHITE NON HISP,20,73,2012
MARINA,FEMALE,WHITE NON HISP,10,83,2012
MARY,FEMALE,WHITE NON HISP,23,70,2012
MARYAM,FEMALE,WHITE NON HISP,10,83,2012
MATILDA,FEMALE,WHITE NON HISP,15,78,2012
MAYA,FEMALE,WHITE NON HISP,120,17,2012
MELANIE,FEMALE,WHITE NON HISP,10,83,2012
MELISSA,FEMALE,WHITE NON HISP,13,80,2012
MIA,FEMALE,WHITE NON HISP,136,13,2012
MICHAELA,FEMALE,WHITE NON HISP,13,80,2012
MICHELLE,FEMALE,WHITE NON HISP,38,55,2012
MIKAYLA,FEMALE,WHITE NON HISP,12,81,2012
MILA,FEMALE,WHITE NON HISP,40,53,2012
MINDY,FEMALE,WHITE NON HISP,30,63,2012
MIREL,FEMALE,WHITE NON HISP,14,79,2012
MIRI,FEMALE,WHITE NON HISP,13,80,2012
MIRIAM,FEMALE,WHITE NON HISP,150,10,2012
MOLLY,FEMALE,WHITE NON HISP,45,48,2012
MORGAN,FEMALE,WHITE NON HISP,22,71,2012
NAOMI,FEMALE,WHITE NON HISP,30,63,2012
NATALIA,FEMALE,WHITE NON HISP,17,76,2012
NATALIE,FEMALE,WHITE NON HISP,46,47,2012
NECHAMA,FEMALE,WHITE NON HISP,25,68,2012
NICOLE,FEMALE,WHITE NON HISP,48,45,2012
NICOLETTE,FEMALE,WHITE NON HISP,14,79,2012
NINA,FEMALE,WHITE NON HISP,42,51,2012
NOA,FEMALE,WHITE NON HISP,28,65,2012
NOOR,FEMALE,WHITE NON HISP,12,81,2012
NORA,FEMALE,WHITE NON HISP,32,61,2012
OLIVE,FEMALE,WHITE NON HISP,18,75,2012
OLIVIA,FEMALE,WHITE NON HISP,198,4,2012
PAIGE,FEMALE,WHITE NON HISP,16,77,2012
PEARL,FEMALE,WHITE NON HISP,31,62,2012
PENELOPE,FEMALE,WHITE NON HISP,54,42,2012
PEREL,FEMALE,WHITE NON HISP,13,80,2012
PERL,FEMALE,WHITE NON HISP,12,81,2012
PERRY,FEMALE,WHITE NON HISP,17,76,2012
PESSY,FEMALE,WHITE NON HISP,27,66,2012
PEYTON,FEMALE,WHITE NON HISP,11,82,2012
PHOEBE,FEMALE,WHITE NON HISP,20,73,2012
PIPER,FEMALE,WHITE NON HISP,18,75,2012
POLINA,FEMALE,WHITE NON HISP,12,81,2012
QUINN,FEMALE,WHITE NON HISP,20,73,2012
RACHEL,FEMALE,WHITE NON HISP,186,6,2012
RAIZEL,FEMALE,WHITE NON HISP,17,76,2012
RAIZY,FEMALE,WHITE NON HISP,52,43,2012
RAQUEL,FEMALE,WHITE NON HISP,12,81,2012
REAGAN,FEMALE,WHITE NON HISP,22,71,2012
REBECCA,FEMALE,WHITE NON HISP,45,48,2012
REEM,FEMALE,WHITE NON HISP,10,83,2012
REESE,FEMALE,WHITE NON HISP,25,68,2012
RIFKY,FEMALE,WHITE NON HISP,14,79,2012
RILEY,FEMALE,WHITE NON HISP,40,53,2012
RIVKA,FEMALE,WHITE NON HISP,96,24,2012
RIVKY,FEMALE,WHITE NON HISP,50,44,2012
ROCHEL,FEMALE,WHITE NON HISP,20,73,2012
ROIZY,FEMALE,WHITE NON HISP,11,82,2012
ROSA,FEMALE,WHITE NON HISP,15,78,2012
ROSE,FEMALE,WHITE NON HISP,36,57,2012
ROSIE,FEMALE,WHITE NON HISP,10,83,2012
RUBY,FEMALE,WHITE NON HISP,38,55,2012
RUCHY,FEMALE,WHITE NON HISP,22,71,2012
RUTH,FEMALE,WHITE NON HISP,17,76,2012
RYAN,FEMALE,WHITE NON HISP,13,80,2012
SABRINA,FEMALE,WHITE NON HISP,29,64,2012
SADIE,FEMALE,WHITE NON HISP,36,57,2012
SAGE,FEMALE,WHITE NON HISP,10,83,2012
SALMA,FEMALE,WHITE NON HISP,15,78,2012
SAMANTHA,FEMALE,WHITE NON HISP,74,32,2012
SARA,FEMALE,WHITE NON HISP,133,14,2012
SARAH,FEMALE,WHITE NON HISP,209,3,2012
SASHA,FEMALE,WHITE NON HISP,13,80,2012
SAVANNAH,FEMALE,WHITE NON HISP,22,71,2012
SCARLETT,FEMALE,WHITE NON HISP,43,50,2012
SELMA,FEMALE,WHITE NON HISP,10,83,2012
SHAINA,FEMALE,WHITE NON HISP,14,79,2012
SHAINDY,FEMALE,WHITE NON HISP,71,33,2012
SHIFRA,FEMALE,WHITE NON HISP,19,74,2012
SHIRA,FEMALE,WHITE NON HISP,16,77,2012
SHOSHANA,FEMALE,WHITE NON HISP,15,78,2012
SIENA,FEMALE,WHITE NON HISP,17,76,2012
SIENNA,FEMALE,WHITE NON HISP,39,54,2012
SIMA,FEMALE,WHITE NON HISP,15,78,2012
SIMONE,FEMALE,WHITE NON HISP,20,73,2012
SKYLAR,FEMALE,WHITE NON HISP,28,65,2012
SLOANE,FEMALE,WHITE NON HISP,19,74,2012
SOFIA,FEMALE,WHITE NON HISP,100,23,2012
SONIA,FEMALE,WHITE NON HISP,10,83,2012
SOPHIA,FEMALE,WHITE NON HISP,198,4,2012
SOPHIE,FEMALE,WHITE NON HISP,90,27,2012
STELLA,FEMALE,WHITE NON HISP,74,32,2012
SURY,FEMALE,WHITE NON HISP,31,62,2012
SYDNEY,FEMALE,WHITE NON HISP,38,55,2012
SYLVIA,FEMALE,WHITE NON HISP,16,77,2012
SYLVIE,FEMALE,WHITE NON HISP,10,83,2012
TALIA,FEMALE,WHITE NON HISP,35,58,2012
TAMAR,FEMALE,WHITE NON HISP,12,81,2012
TAYLOR,FEMALE,WHITE NON HISP,26,67,2012
TESSA,FEMALE,WHITE NON HISP,11,82,2012
TOBY,FEMALE,WHITE NON HISP,52,43,2012
TZIPORA,FEMALE,WHITE NON HISP,13,80,2012
TZIVIA,FEMALE,WHITE NON HISP,11,82,2012
VALENTINA,FEMALE,WHITE NON HISP,36,57,2012
VALERIE,FEMALE,WHITE NON HISP,17,76,2012
VANESSA,FEMALE,WHITE NON HISP,21,72,2012
VERA,FEMALE,WHITE NON HISP,18,75,2012
VERONICA,FEMALE,WHITE NON HISP,27,66,2012
VICTORIA,FEMALE,WHITE NON HISP,109,21,2012
VIOLET,FEMALE,WHITE NON HISP,47,46,2012
VIRGINIA,FEMALE,WHITE NON HISP,12,81,2012
VIVIAN,FEMALE,WHITE NON HISP,23,70,2012
VIVIENNE,FEMALE,WHITE NON HISP,37,56,2012
WILLA,FEMALE,WHITE NON HISP,17,76,2012
YAEL,FEMALE,WHITE NON HISP,23,70,2012
YARA,FEMALE,WHITE NON HISP,10,83,2012
YEHUDIS,FEMALE,WHITE NON HISP,17,76,2012
YIDES,FEMALE,WHITE NON HISP,29,64,2012
YITTA,FEMALE,WHITE NON HISP,12,81,2012
YITTY,FEMALE,WHITE NON HISP,43,50,2012
YOCHEVED,FEMALE,WHITE NON HISP,32,61,2012
ZISSY,FEMALE,WHITE NON HISP,32,61,2012
ZOE,FEMALE,WHITE NON HISP,93,25,2012
ZOEY,FEMALE,WHITE NON HISP,25,68,2012
AARON,MALE,WHITE NON HISP,95,32,2012
ABRAHAM,MALE,WHITE NON HISP,132,20,2012
ADAM,MALE,WHITE NON HISP,140,17,2012
ADRIAN,MALE,WHITE NON HISP,41,64,2012
AHMAD,MALE,WHITE NON HISP,15,89,2012
AHMED,MALE,WHITE NON HISP,34,70,2012
AHRON,MALE,WHITE NON HISP,11,93,2012
AIDAN,MALE,WHITE NON HISP,36,68,2012
AIDEN,MALE,WHITE NON HISP,73,43,2012
AKIVA,MALE,WHITE NON HISP,20,84,2012
ALAN,MALE,WHITE NON HISP,27,77,2012
ALBERT,MALE,WHITE NON HISP,21,83,2012
ALEKSANDER,MALE,WHITE NON HISP,10,94,2012
ALEX,MALE,WHITE NON HISP,23,81,2012
ALEXANDER,MALE,WHITE NON HISP,227,7,2012
ALI,MALE,WHITE NON HISP,43,63,2012
ALTER,MALE,WHITE NON HISP,15,89,2012
AMIR,MALE,WHITE NON HISP,25,79,2012
ANDERSON,MALE,WHITE NON HISP,11,93,2012
ANDREW,MALE,WHITE NON HISP,121,24,2012
ANGELO,MALE,WHITE NON HISP,19,85,2012
ANTHONY,MALE,WHITE NON HISP,133,19,2012
ANTONIO,MALE,WHITE NON HISP,25,79,2012
ARCHER,MALE,WHITE NON HISP,11,93,2012
ARI,MALE,WHITE NON HISP,40,65,2012
ARIEL,MALE,WHITE NON HISP,20,84,2012
ARON,MALE,WHITE NON HISP,70,45,2012
ARTHUR,MALE,WHITE NON HISP,29,75,2012
ARYEH,MALE,WHITE NON HISP,27,77,2012
ASHER,MALE,WHITE NON HISP,59,50,2012
ATTICUS,MALE,WHITE NON HISP,10,94,2012
AUGUST,MALE,WHITE NON HISP,31,73,2012
AUSTIN,MALE,WHITE NON HISP,19,85,2012
AVERY,MALE,WHITE NON HISP,12,92,2012
AVRAHAM,MALE,WHITE NON HISP,45,61,2012
AVROHOM,MALE,WHITE NON HISP,29,75,2012
AVRUM,MALE,WHITE NON HISP,18,86,2012
AYDEN,MALE,WHITE NON HISP,19,85,2012
BARUCH,MALE,WHITE NON HISP,18,86,2012
BECKETT,MALE,WHITE NON HISP,11,93,2012
BEN,MALE,WHITE NON HISP,18,86,2012
BENJAMIN,MALE,WHITE NON HISP,218,8,2012
BENNETT,MALE,WHITE NON HISP,10,94,2012
BENTZION,MALE,WHITE NON HISP,12,92,2012
BENZION,MALE,WHITE NON HISP,13,91,2012
BINYOMIN,MALE,WHITE NON HISP,11,93,2012
BLAKE,MALE,WHITE NON HISP,24,80,2012
BORUCH,MALE,WHITE NON HISP,11,93,2012
BRADLEY,MALE,WHITE NON HISP,12,92,2012
BRADY,MALE,WHITE NON HISP,22,82,2012
BRANDON,MALE,WHITE NON HISP,45,61,2012
BRAYDEN,MALE,WHITE NON HISP,22,82,2012
BRENDAN,MALE,WHITE NON HISP,24,80,2012
BRIAN,MALE,WHITE NON HISP,20,84,2012
BRODY,MALE,WHITE NON HISP,15,89,2012
CALEB,MALE,WHITE NON HISP,35,69,2012
CALVIN,MALE,WHITE NON HISP,11,93,2012
CAMERON,MALE,WHITE NON HISP,21,83,2012
CARTER,MALE,WHITE NON HISP,19,85,2012
CHAIM,MALE,WHITE NON HISP,169,12,2012
CHARLES,MALE,WHITE NON HISP,139,18,2012
CHARLIE,MALE,WHITE NON HISP,29,75,2012
CHASE,MALE,WHITE NON HISP,33,71,2012
CHESKEL,MALE,WHITE NON HISP,10,94,2012
CHESKY,MALE,WHITE NON HISP,16,88,2012
CHRIS,MALE,WHITE NON HISP,14,90,2012
CHRISTIAN,MALE,WHITE NON HISP,73,43,2012
CHRISTOPHER,MALE,WHITE NON HISP,74,42,2012
COLE,MALE,WHITE NON HISP,20,84,2012
COLIN,MALE,WHITE NON HISP,45,61,2012
CONNOR,MALE,WHITE NON HISP,44,62,2012
COOPER,MALE,WHITE NON HISP,35,69,2012
DAMIAN,MALE,WHITE NON HISP,15,89,2012
DANIEL,MALE,WHITE NON HISP,232,6,2012
DAVID,MALE,WHITE NON HISP,289,2,2012
DEAN,MALE,WHITE NON HISP,25,79,2012
DECLAN,MALE,WHITE NON HISP,38,67,2012
DEVIN,MALE,WHITE NON HISP,10,94,2012
DOMINIC,MALE,WHITE NON HISP,28,76,2012
DOMINICK,MALE,WHITE NON HISP,20,84,2012
DOV,MALE,WHITE NON HISP,32,72,2012
DOVID,MALE,WHITE NON HISP,26,78,2012
DREW,MALE,WHITE NON HISP,15,89,2012
DYLAN,MALE,WHITE NON HISP,124,23,2012
EDWARD,MALE,WHITE NON HISP,35,69,2012
EFRAIM,MALE,WHITE NON HISP,19,85,2012
EITAN,MALE,WHITE NON HISP,21,83,2012
ELAN,MALE,WHITE NON HISP,12,92,2012
ELI,MALE,WHITE NON HISP,99,31,2012
ELIAS,MALE,WHITE NON HISP,34,70,2012
ELIEZER,MALE,WHITE NON HISP,29,75,2012
ELIJAH,MALE,WHITE NON HISP,29,75,2012
ELIMELECH,MALE,WHITE NON HISP,18,86,2012
ELIYAHU,MALE,WHITE NON HISP,29,75,2012
ELLIOT,MALE,WHITE NON HISP,29,75,2012
ELLIOTT,MALE,WHITE NON HISP,10,94,2012
ELLIS,MALE,WHITE NON HISP,11,93,2012
ELUZER,MALE,WHITE NON HISP,11,93,2012
EMMETT,MALE,WHITE NON HISP,13,91,2012
EPHRAIM,MALE,WHITE NON HISP,15,89,2012
ERIC,MALE,WHITE NON HISP,35,69,2012
ERIK,MALE,WHITE NON HISP,10,94,2012
ETHAN,MALE,WHITE NON HISP,131,21,2012
EVAN,MALE,WHITE NON HISP,68,47,2012
EVERETT,MALE,WHITE NON HISP,15,89,2012
EZRA,MALE,WHITE NON HISP,53,54,2012
EZRIEL,MALE,WHITE NON HISP,10,94,2012
FELIX,MALE,WHITE NON HISP,21,83,2012
FILIP,MALE,WHITE NON HISP,15,89,2012
FINN,MALE,WHITE NON HISP,26,78,2012
FRANCESCO,MALE,WHITE NON HISP,12,92,2012
FRANK,MALE,WHITE NON HISP,33,71,2012
FREDERICK,MALE,WHITE NON HISP,10,94,2012
GABRIEL,MALE,WHITE NON HISP,106,27,2012
GAVIN,MALE,WHITE NON HISP,48,58,2012
GAVRIEL,MALE,WHITE NON HISP,20,84,2012
GEORGE,MALE,WHITE NON HISP,75,41,2012
GIOVANNI,MALE,WHITE NON HISP,21,83,2012
GRAHAM,MALE,WHITE NON HISP,21,83,2012
